timestamp,mac,rx_MB,tx_MB,delta_rx_MB,delta_tx_MB
2025-09-20T09:58:17Z,D4:CA:6D:9E:F8:A0,946.14,7561.04,946.14,7561.04
2025-09-20T20:29:54Z,D4:CA:6D:9E:F8:A0,1531.67,15855.72,585.53,8294.68
2025-09-21T06:59:19Z,D4:CA:6D:9E:F8:A0,1689.54,17069.64,157.87,1213.92
2025-09-21T15:00:23Z,D4:CA:6D:9E:F8:A0,2592.87,22005.56,903.33,4935.92
2025-09-21T19:21:05Z,D4:CA:6D:9E:F8:A0,2687.79,22583.98,94.92,578.42
2025-09-21T22:11:21Z,D4:CA:6D:9E:F8:A0,2761.46,23200.57,73.68,616.59
2025-09-22T06:29:40Z,D4:CA:6D:9E:F8:A0,2806.48,23298.48,45.01,97.92
2025-09-22T09:56:27Z,D4:CA:6D:9E:F8:A0,2816.28,23333.97,9.8,35.49
2025-09-22T13:28:37Z,D4:CA:6D:9E:F8:A0,2856.11,23376.69,39.83,42.72
2025-09-22T17:29:25Z,D4:CA:6D:9E:F8:A0,2893.23,23557.47,37.12,180.78
2025-09-23T06:59:17Z,D4:CA:6D:9E:F8:A0,3174.17,24204.84,280.94,647.37
2025-09-23T11:04:50Z,D4:CA:6D:9E:F8:A0,3398.72,25478.06,224.54,1273.22
2025-09-23T12:22:03Z,D4:CA:6D:9E:F8:A0,3417.93,25519.32,19.21,41.26
2025-09-23T12:54:14Z,D4:CA:6D:9E:F8:A0,3427.59,25549.01,9.66,29.69
2025-09-23T17:39:02Z,D4:CA:6D:9E:F8:A0,4313.79,27521.79,886.2,1972.78
2025-09-23T21:39:30Z,D4:CA:6D:9E:F8:A0,4662.97,30071.15,349.18,2549.37
2025-09-24T06:31:57Z,D4:CA:6D:9E:F8:A0,4843.69,31430.78,180.72,1359.63
2025-09-24T22:24:00Z,D4:CA:6D:9E:F8:A0,5999.63,40249.2,1155.94,8818.42
2025-09-25T11:45:34Z,D4:CA:6D:9E:F8:A0,6249.95,40338.79,250.33,89.59
