timestamp,mac,rx_MB,tx_MB,delta_rx_MB,delta_tx_MB
2025-09-15T08:37:21Z,D4:CA:6D:9E:F8:A0,16.5,82.44,16.5,82.44
2025-09-15T08:40:38Z,D4:CA:6D:9E:F8:A0,16.94,82.8,0.44,0.36
2025-09-15T08:57:51Z,D4:CA:6D:9E:F8:A0,19.16,89.39,2.22,6.59
2025-09-15T09:08:43Z,D4:CA:6D:9E:F8:A0,20.78,93.0,1.63,3.61
2025-09-15T11:00:24Z,D4:CA:6D:9E:F8:A0,86.62,231.53,65.83,138.52
2025-09-15T16:11:28Z,D4:CA:6D:9E:F8:A0,144.48,551.96,57.87,320.43
2025-09-16T06:37:31Z,D4:CA:6D:9E:F8:A0,588.3,2964.31,443.82,2412.36
2025-09-16T11:00:16Z,D4:CA:6D:9E:F8:A0,723.61,4398.37,135.31,1434.06
2025-09-16T17:51:36Z,D4:CA:6D:9E:F8:A0,1629.78,27972.98,906.17,23574.61
2025-09-17T07:02:27Z,D4:CA:6D:9E:F8:A0,1888.33,31227.15,258.55,3254.17
2025-09-17T11:51:31Z,D4:CA:6D:9E:F8:A0,2040.67,32941.36,152.34,1714.22
2025-09-17T15:37:35Z,D4:CA:6D:9E:F8:A0,2184.95,34642.92,144.28,1701.55
2025-09-17T19:50:13Z,D4:CA:6D:9E:F8:A0,2551.61,38702.29,366.65,4059.38
2025-09-18T04:49:54Z,D4:CA:6D:9E:F8:A0,2622.37,39373.35,70.77,671.05
2025-09-18T06:49:37Z,D4:CA:6D:9E:F8:A0,2657.67,40115.37,35.3,742.02
2025-09-18T16:09:46Z,D4:CA:6D:9E:F8:A0,2940.76,42286.11,283.09,2170.74
2025-09-18T20:01:51Z,D4:CA:6D:9E:F8:A0,3161.78,48743.43,221.02,6457.32
2025-09-19T04:37:21Z,D4:CA:6D:9E:F8:A0,3402.58,49607.05,240.81,863.62
2025-09-19T08:38:06Z,D4:CA:6D:9E:F8:A0,3680.63,49547.41,278.04,-59.64
2025-09-19T13:30:36Z,D4:CA:6D:9E:F8:A0,8.75,122.46,-3671.88,-49424.95
