start_time,end_time,delta_rx_MB,delta_hours,MB_per_hour
20.09.25 09:58,20.09.25 20:29,585.5316066741943,10.53,55.6
20.09.25 20:29,21.09.25 06:59,157.87144374847412,10.49,15.0
21.09.25 06:59,21.09.25 15:00,903.3284111022949,8.02,112.7
21.09.25 15:00,21.09.25 19:21,94.91759490966797,4.34,21.8
21.09.25 19:21,21.09.25 22:11,73.67727947235107,2.84,26.0
21.09.25 22:11,22.09.25 06:29,45.01391792297363,8.31,5.4
22.09.25 06:29,22.09.25 09:56,9.801365852355957,3.45,2.8
22.09.25 09:56,22.09.25 13:28,39.83325004577637,3.54,11.3
22.09.25 13:28,22.09.25 17:29,37.11917495727539,4.01,9.2
22.09.25 17:29,23.09.25 06:59,280.9411687850952,13.5,20.8
23.09.25 06:59,23.09.25 11:04,224.54358005523682,4.09,54.9
23.09.25 11:04,23.09.25 12:22,19.21371555328369,1.29,14.9
23.09.25 12:22,23.09.25 12:54,9.664037704467773,0.54,18.0
23.09.25 12:54,23.09.25 17:39,886.1973905563354,4.75,186.7
23.09.25 17:39,23.09.25 21:39,349.1773614883423,4.01,87.1
23.09.25 21:39,24.09.25 06:31,180.71815299987793,8.87,20.4
24.09.25 06:31,24.09.25 22:24,1155.9399938583374,15.87,72.8
24.09.25 22:24,25.09.25 11:45,250.32669925689697,13.36,18.7
25.09.25 11:45,25.09.25 17:47,427.1194181442261,6.02,70.9
25.09.25 17:47,25.09.25 22:23,270.47077560424805,4.62,58.6
25.09.25 22:23,26.09.25 06:51,144.69094467163086,8.46,17.1
26.09.25 06:51,26.09.25 10:43,63.35025501251221,3.87,16.4
26.09.25 10:43,26.09.25 14:37,82.20637512207031,3.89,21.1
26.09.25 14:37,26.09.25 16:41,122.55258560180664,2.07,59.2
26.09.25 16:41,26.09.25 21:38,437.88166904449463,4.95,88.5
26.09.25 21:38,27.09.25 07:22,143.08970260620117,9.73,14.7
27.09.25 07:22,27.09.25 15:10,524.4192914962769,7.79,67.3
27.09.25 15:10,27.09.25 21:58,427.5166311264038,6.81,62.8
27.09.25 21:58,28.09.25 08:27,149.9531955718994,10.47,14.3
28.09.25 08:27,28.09.25 11:48,207.79968738555908,3.35,62.0
28.09.25 11:48,28.09.25 19:00,433.413743019104,7.21,60.1
28.09.25 19:00,28.09.25 21:18,111.98703956604004,2.3,48.8
28.09.25 21:18,29.09.25 06:18,114.02178001403809,9.0,12.7
29.09.25 06:18,29.09.25 11:14,164.22000885009766,4.93,33.3
29.09.25 11:14,29.09.25 17:42,136.9580421447754,6.47,21.2
29.09.25 17:42,29.09.25 20:16,101.95875358581543,2.55,40.0
29.09.25 20:16,30.09.25 06:47,175.79146099090576,10.53,16.7
30.09.25 06:47,30.09.25 15:15,287.9068479537964,8.46,34.0
30.09.25 15:15,30.09.25 20:42,332.93816089630127,5.45,61.1
